Time (min),Buy
2.0,0
0.6833333333333333,0
3.216666666666667,1
0.9,0
1.5333333333333334,1
2.8833333333333333,1
0.8,0
1.4666666666666666,0
1.1166666666666667,0
0.6,0
1.35,1
3.183333333333333,1
2.7666666666666666,0
2.183333333333333,1
1.5,1
1.3333333333333333,1
1.5333333333333334,0
0.7833333333333333,0
2.9833333333333334,1
4.15,1
0.85,0
2.033333333333333,1
1.6,0
2.6166666666666667,1
2.683333333333333,1
1.95,0
0.4666666666666667,1
2.716666666666667,1
2.333333333333333,1
3.4166666666666665,1
0.26666666666666666,0
1.3833333333333333,1
0.5166666666666667,0
2.7,1
2.05,0
2.95,1
1.2333333333333334,0
3.6166666666666663,1
1.4333333333333331,1
2.066666666666667,0
2.066666666666667,1
1.5,0
2.433333333333333,0
2.95,1
2.216666666666667,1
0.9166666666666666,0
2.1,1
3.75,1
1.0,0
0.0,0
2.65,1
1.55,0
1.0666666666666669,0
2.0166666666666666,1
0.0,0
0.0,0
0.6666666666666666,0
2.5166666666666666,1
1.0666666666666669,0
1.25,0
2.95,1
0.0,0
1.9666666666666663,0
2.2,1
2.9,1
3.85,1
2.3833333333333333,1
2.083333333333333,1
3.183333333333333,1
3.8666666666666663,1
2.183333333333333,0
2.833333333333333,1
2.7333333333333334,1
1.3833333333333333,0
1.1666666666666667,0
0.38333333333333336,0
1.1666666666666667,0
1.5166666666666666,0
3.216666666666667,1
1.1333333333333333,0
0.7,0
0.8166666666666667,0
3.883333333333333,1
2.216666666666667,1
0.75,0
2.566666666666667,0
0.0,0
0.0,0
1.7666666666666666,1
1.6833333333333331,1
0.21666666666666667,0
0.0,0
2.8833333333333333,1
2.466666666666667,1
1.2666666666666666,0
3.75,1
3.883333333333333,1
1.5666666666666669,0
1.6666666666666667,0
2.15,1
